time,event
0.006932780385534597,A
0.12181572501449453,A
0.4286011213597313,A
0.49033314098993613,C
0.8469691967979988,D
0.9518803481162814,A
1.0127806027271915,A
1.100712480689212,D
1.298225796293136,D
1.466379419796604,A
1.4787405781585732,D
1.5178987821600984,A
1.6151183752578389,A
1.6358755379930885,A
1.6837880623983243,C
1.765105160128499,D
1.8329793517260535,C
1.8408272935218855,A
1.8844689716905876,A
1.9197483333047958,D
1.9221865428176708,D
1.9256771678652285,C
1.9756139310122869,A
1.9988783814376583,C
2.137915978683372,A
2.229729671447944,C
2.3491375611310543,A
2.4638247303897756,A
2.5097774941403017,D
2.537189680051804,A
2.645744366737628,C
2.686003898311442,A
2.73939001306991,A
2.7507283076532776,D
2.833306146138787,A
2.8766961907824955,A
2.8943710381132193,B
3.072945411912911,B
3.0782787512896403,B
3.358577523792647,A
3.363154231045274,D
3.3753711356104645,C
3.5528334399893433,A
3.6730586311930917,A
3.7064762368453765,A
3.768934693647747,A
3.8045748375104362,B
3.9261507101483,A
3.9843460968575672,D
3.9891670627834155,A
4.030152595474592,A
4.13039679097484,D
4.15290242134771,B
4.3160747333459275,C
4.316481894457669,D
4.367808197594644,C
4.829492668547431,A
4.960079159248504,A
4.981921686666611,A
5.041094703246033,C
5.175509710147418,A
5.283633468661399,A
5.378105047686896,D
5.4822847983879655,B
5.575794833168895,A
5.729005849898333,A
5.905174116829743,A
5.970287190904839,A
6.083149022051596,D
6.090977243206971,D
6.12581052215124,D
6.325811376476922,A
6.357946999234673,D
6.4822818042260035,D
6.54161193707388,D
6.745548135184031,A
6.79708821642441,B
6.8532671370353135,B
6.873224229257688,A
6.998436710461564,C
7.139737922429478,A
7.142274317909958,A
7.166344785621042,D
7.4359857342876,A
7.610183446304155,D
7.71682598608017,A
7.7766412879835265,A
7.7906444016354985,D
7.793714658369621,D
7.920700510015088,A
8.025964349088708,A
8.150048056982707,A
8.15012626949188,A
8.379186117349915,A
8.500995456425368,A
8.556984486570665,B
8.594638823285543,D
8.749461999371285,A
8.821180817364178,D
9.133739741244638,A
9.166569977081643,D
9.215003733532141,A
9.260968623399664,A
9.26657655674238,A
9.334469574858334,A
9.372127986955137,A
9.636658407148452,D
9.705541068102466,D
9.755953998414878,A
9.866512478038176,A
9.895339568519962,A
9.980790453541859,A
9.989367844422166,A
10.088065889251272,A
10.2533197413897,A
10.347258998470187,A
10.3981943449804,A
10.639185448179745,D
10.782393963091828,A
10.785101527511333,D
10.816289426625513,D
10.950345021267363,C
10.952910495960115,C
11.068844432794183,A
11.246456896157053,B
11.288595300760525,A
11.349200883062037,A
11.406380126982837,B
11.488903889646204,A
11.49390178381992,D
11.56125218902846,A
11.580945274604588,C
11.71643669235634,A
11.722620022382213,A
11.782858756060335,A
11.787452388311175,C
11.954114745628953,A
12.037853797666976,C
12.056280807050351,B
12.063684234464588,A
12.21946894809999,B
12.23098980383724,D
12.24460789892136,C
12.347546747597587,C
12.513471979503073,A
12.74001794050114,B
12.995039296140305,D
13.015900048805781,A
13.071630782910518,D
13.092932990789826,A
13.25433495450216,D
13.37533993159935,B
13.435361686868983,A
13.45145657055613,B
13.47247629098176,B
13.528931463818362,D
13.544048525888474,C
13.618186129241181,C
13.840882823847416,B
13.950188177196127,A
14.008556383356277,A
14.164285723996361,C
14.19038883748861,A
14.238360169701625,A
14.397424495985192,A
14.618915101281107,D
14.653466020024442,B
14.663714286292132,C
14.744072581191144,A
14.783992204899862,A
14.891135782581,A
15.171658530102983,A
15.240973298415515,A
15.4138585451655,A
15.513918011989627,B
15.52102605430861,A
15.730401412754091,C
15.872682386455523,A
15.90728941385705,D
15.908820708466545,A
16.066852883421255,A
16.072842676585875,A
16.20220313354155,A
16.20362497122945,A
16.284073883665165,A
16.32364210266344,C
16.366104740818866,A
16.414990922491565,C
16.425406924356583,A
16.45908190844971,D
16.79642527143854,B
16.81699904736062,D
16.88130763874206,D
16.91746522303659,A
16.9863217840463,D
17.152625365299127,A
17.21640508279046,A
17.244395860573373,D
17.303552128148723,A
17.416984193176347,B
17.536218881894563,A
17.626099574248933,A
17.668869686510778,D
17.699777469168808,A
17.70600398170159,A
17.752972912242544,A
17.881455033616255,A
17.943249616525318,A
18.0324407118121,A
18.0508011131232,D
18.11251043617622,A
18.123529102680667,D
18.127046339299,A
18.17209406410855,A
18.329701362532223,A
18.433994134884323,C
18.640027167188546,D
18.844498341574024,A
19.048549982060454,D
19.14068550507604,A
19.235375971071523,D
19.291906789278606,A
19.405368178336797,A
19.414951915820186,A
19.583625478068406,C
19.59217012689805,D
19.85189807929922,B
19.963051563815288,C
19.975842833774983,C
19.99567478855695,A
20.11035583810953,A
20.12650032850086,B
20.191784096575542,B
20.21073314776818,D
20.24042720283758,D
20.335427990692907,D
20.439554436896614,A
20.471669953296544,A
20.54564249119778,A
20.576836628041498,A
20.731371184164164,B
20.76664150858175,B
20.77193184723326,B
20.856480044743716,B
20.931698146892636,A
21.044027257143625,A
21.162903753704544,D
21.17589997112812,A
21.24276081015841,A
21.314414891971044,A
21.339429892677856,A
21.387220000752958,A
21.625735019050495,B
21.645036735686617,D
21.70054150866519,A
22.23572944986257,C
22.30200456307896,C
22.436379438301948,A
22.583402798016508,A
22.597387383654603,A
22.628269784262443,A
22.65769693397229,D
22.666940755195604,C
22.772810013141672,A
22.806327514020182,A
22.829570523565604,D
23.015971297213323,A
23.017725648769606,D
23.054475857486715,A
23.193414174361042,D
23.420935262983566,A
23.433084303028416,C
23.45563666913667,B
23.474886584594252,A
23.642070546643794,B
23.72604745368068,A
23.80934369076076,D
23.845956409975,A
23.885316804503145,A
23.931446810601116,A
24.0334874561846,C
24.079481168159884,A
24.27034303058478,D
24.566884714332286,D
24.617028445398994,D
24.657111046532197,A
24.658299128668137,B
24.659866000083575,A
24.90880165340149,D
24.943789324435098,D
24.956007055842466,C
25.040408795000523,A
25.068661657211962,A
25.209895160012973,A
25.294947083930204,D
25.3146461490338,A
25.545879459001842,D
25.56712741699913,D
25.584715539854987,A
25.594518945372275,A
25.703977965587868,D
25.7696276291451,C
25.812858363617902,C
25.86295118927682,A
25.886485580541205,C
25.97465995191348,B
25.97972851521463,A
25.98172301081902,D
25.985756411933068,B
26.031983553931187,A
26.114628110132955,A
26.135985456443947,C
26.14309761232806,D
26.19705829281863,B
26.272468240207182,A
26.279785415252842,A
26.30225558970665,A
26.313713007793993,D
26.387647885753786,B
26.4078245727843,D
26.41945754930522,A
26.468543132798526,C
26.504504426809067,A
26.548639520534266,A
26.574920174275505,D
26.61978768415508,A
26.874995738713526,A
27.02922243212328,B
27.08081574512428,A
27.097857256317244,A
27.292153232359933,D
27.321824734636326,A
27.364170577229388,D
27.486947265212926,D
27.563522684457155,B
27.630717575486784,A
27.662247982499377,A
