,time,event
0,0.016553071967513863,D
1,0.12589195090730626,D
2,0.12760745197977902,C
3,0.17442335995388014,A
4,0.2516094178670569,C
5,0.2980203804166146,C
6,0.3030556659163831,A
7,0.4445379109250124,C
8,0.4667431373725821,C
9,0.4734695978195164,C
10,0.4774143983558869,C
11,0.4833224565712622,C
12,0.5154557233364496,C
13,0.589980302980828,C
14,0.6001739534582377,C
15,0.6511630537534879,D
16,0.6555780635853556,D
17,0.6953121314305786,C
18,0.7577091815541496,C
19,0.9508229676642646,A
20,1.0100658106116294,A
21,1.013140347197288,C
22,1.017277243239561,A
23,1.0416182376440204,B
24,1.1534369070450472,A
25,1.1699210460958087,A
26,1.2607660129394471,A
27,1.3397652871137342,A
28,1.3587386282037557,A
29,1.412384100285629,A
30,1.4263040406116587,B
31,1.5320998850528038,A
32,1.648707710390075,D
33,1.7416259803407268,A
34,1.770451877189391,A
35,2.103756046847434,D
36,2.3901015838275965,D
37,2.5332319483822823,B
38,2.6701302339287527,A
39,2.9269603226428997,D
40,2.9970375601821813,C
41,3.028726332178291,A
42,3.0876173318286235,D
43,3.2986113117060434,C
44,3.308659753129258,D
45,3.380413461944157,A
46,3.3891492565427,B
47,3.5129885242184087,D
48,3.564680280652587,A
49,3.622156156684908,D
50,3.6749175238616067,D
51,3.6981612100356602,A
52,3.8509978456339233,C
53,4.028656092689416,D
54,4.086536156066485,D
55,4.116604813842601,A
56,4.2405471834515165,B
57,4.294288577046175,A
58,4.5969562594089055,C
59,4.7380870572082046,B
60,4.7562333362049465,A
61,4.834916149988751,B
62,4.963565432247515,A
63,5.119759167982654,A
64,5.16758681673979,D
65,5.195556015092311,D
66,5.226659957799953,C
67,5.527075656278816,D
68,5.554488014798279,A
69,5.883664258559322,C
70,5.897093328643633,D
71,5.9064413043325175,A
72,6.042362630060514,B
73,6.1747452087992505,D
74,6.188135924350235,B
75,6.263381740982123,A
76,6.310197651519653,A
77,6.353222724769008,A
78,6.386735516160434,A
79,6.436314980526578,B
80,6.471173435220088,A
81,6.714855838719672,B
82,6.8147312141465655,A
83,6.8874559946382305,D
84,6.978960409366188,D
85,6.984420818809062,A
86,7.08864611179392,A
87,7.1026908072500055,D
88,7.264950948254372,A
89,7.269584635435893,B
90,7.36185435837121,D
91,7.458219589259362,A
92,7.5577091548328115,B
93,7.656440640586912,D
94,7.81133220487485,B
95,7.887717134820023,D
96,7.889508792518664,B
97,7.975948846670443,D
98,8.004910219285097,A
99,8.052540548322655,B
100,8.061827995852637,A
101,8.21795526603423,A
102,8.360446815653848,B
103,8.459050112771083,B
104,8.919438985185373,C
105,8.934443493158781,D
